品类组	品类	子品类	货号	评论内容	评论种类	一级分类	二级分类	三级分类
发饰	头饰	发束	84584501	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84584502	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	84584503	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864159	款式不够多	差评	外观与设计	其他外观与设计	其他外观与设计
发饰	头饰	发束	82941305	颜色选择少了点	中评	外观与设计	其他外观与设计	其他外观与设计
发饰	头饰	橡巾	83520102	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	橡巾	83599206	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84051007	断了。。	差评	工艺与做工	粘合或结构牢固性	断裂
发饰	头饰	发圈	84696201	不好看！	差评	外观与设计	款式设计	不好看或丑
发饰	头饰	发圈	85134301	掉毛	差评	材质与成分	材质表现	掉毛掉绒
发饰	头饰	发圈	85181701	同城发货线头多，到门店换，员工态度不好把篮子一丢扭头就走了	差评	工艺与做工	其他工艺与做工	质量或做工粗糙
发饰	头饰	发圈	84665822	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	头饰	发圈	85145803	质量很好，款式漂亮，很喜欢！	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	85145803	质量很好，款式漂亮，很喜欢！	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84658304	整体不错，但有点线头，这个可能是这种款式的最后一个，实在喜欢，也还行	差评	工艺与做工	其他工艺与做工	质量或做工粗糙
发饰	头饰	发圈	84658304	整体不错，但有点线头，这个可能是这种款式的最后一个，实在喜欢，也还行	好评	外观与设计	其他外观与设计	喜欢
发饰	头饰	发圈	84807403	太小了点	差评	外观与设计	版型或尺寸	版型或尺码小
发饰	头饰	发圈	84984102	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84997401	质量很好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	头饰	发圈	84674102	皮筋不好用，容易松断	差评	工艺与做工	粘合或结构牢固性	断绳或断筋
发饰	头饰	发圈	84811602	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84664804	好看喜欢	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84658202	收到货了挺好的	好评	外观与设计	其他外观与设计	好
发饰	头饰	橡巾	85117702	特别耐用 不伤头发	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	头饰	橡巾	85117702	特别耐用 不伤头发	好评	功能与效果	其他功能与效果反馈	其他功能与效果
发饰	头饰	发束	81864159	很好看 很可爱	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发束	81864159	很好看 很可爱	好评	外观与设计	款式设计	可爱
发饰	头饰	发圈	84812505	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	85185601	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	头饰	发圈	84830803	挺好用	好评	功能与效果	其他功能与效果反馈	实用
